date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:07	6810/6810	---M--	200	added ('OK')	image/png	etag:%225ff5d774-1a9a%22	https://bulkit.cssninja.io/assets/img/logos/stacks/vuejs.png	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/logos/stacks/vuejs.png	(from https://bulkit.cssninja.io/_components-sections-carousel.html)
22:36:08	5417/5417	---M--	200	added ('OK')	image/png	etag:%225ff5d774-1529%22	https://bulkit.cssninja.io/assets/img/logos/stacks/rails.png	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/logos/stacks/rails.png	(from https://bulkit.cssninja.io/_components-sections-carousel.html)
22:36:09	8645/8645	---M--	200	added ('OK')	image/svg+xml	etag:%225ff5d774-21c5%22	https://bulkit.cssninja.io/assets/img/graphics/icons/demo/upload.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/graphics/icons/demo/upload.svg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:10	5155/5155	---M--	200	added ('OK')	image/svg+xml	etag:%225ff5d774-1423%22	https://bulkit.cssninja.io/assets/img/graphics/icons/demo/wallet.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/graphics/icons/demo/wallet.svg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:11	6179/6179	---M--	200	added ('OK')	image/svg+xml	etag:%225ff5d774-1823%22	https://bulkit.cssninja.io/assets/img/graphics/icons/demo/building.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/graphics/icons/demo/building.svg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:13	44622/44622	---M--	200	added ('OK')	image/jpeg	etag:%225ff5d772-ae4e%22	https://bulkit.cssninja.io/assets/img/avatars/nina.jpg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/avatars/nina.jpg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:14	48767/48767	---M--	200	added ('OK')	image/png	etag:%225ff5d773-be7f%22	https://bulkit.cssninja.io/assets/img/demo/flat/mountain-sunset.png	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/demo/flat/mountain-sunset.png	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:15	8603/8603	---M--	200	added ('OK')	image/svg+xml	etag:%225ff5d772-219b%22	https://bulkit.cssninja.io/assets/img/avatars/funny1.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/avatars/funny1.svg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:15	5500/5500	---M--	200	added ('OK')	image/svg+xml	etag:%225ff5d772-157c%22	https://bulkit.cssninja.io/assets/img/avatars/funny2.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/avatars/funny2.svg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:17	6303/6303	---M--	200	added ('OK')	image/svg+xml	etag:%225ff5d772-189f%22	https://bulkit.cssninja.io/assets/img/avatars/funny3.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/avatars/funny3.svg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:19	183005/183005	---M--	200	added ('OK')	image/jpeg	etag:%225ff5d774-2cadd%22	https://bulkit.cssninja.io/assets/img/demo/woman-glasses.jpeg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/demo/woman-glasses.jpg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:21	194797/194797	---M--	200	added ('OK')	image/jpeg	etag:%225ff5d774-2f8ed%22	https://bulkit.cssninja.io/assets/img/demo/woman-glasses-back.jpeg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/demo/woman-glasses-back.jpg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:23	125288/125288	---M--	200	added ('OK')	image/jpeg	etag:%225ff5d773-1e968%22	https://bulkit.cssninja.io/assets/img/demo/events/event1.jpg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/demo/events/event1.jpg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:23	357000/357000	---M--	200	added ('OK')	image/jpeg	etag:%225ff5d773-57288%22	https://bulkit.cssninja.io/assets/img/demo/laptop-living.jpeg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/demo/laptop-living.jpg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:24	90212/90212	---M--	200	added ('OK')	image/jpeg	etag:%225ff5d773-16064%22	https://bulkit.cssninja.io/assets/img/demo/events/event2.jpg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/demo/events/event2.jpg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:25	8786/8786	---M--	200	added ('OK')	image/svg+xml	etag:%225ff5d773-2252%22	https://bulkit.cssninja.io/assets/img/demo/events/event3.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/demo/events/event3.svg	(from https://bulkit.cssninja.io/_components-basicui-cards.html)
22:36:26	915/915	---M--	200	added ('OK')	image/png	etag:%225ff5d774-393%22	https://bulkit.cssninja.io/assets/img/logos/logo-grayscale.png	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/logos/logo-grayscale.png	(from https://bulkit.cssninja.io/_components-basicui-lists.html)
22:36:27	1652/1652	---M--	200	added ('OK')	image/svg+xml	etag:%225ff5d774-674%22	https://bulkit.cssninja.io/assets/img/graphics/icons/demo/account.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/img/graphics/icons/demo/account.svg	(from https://bulkit.cssninja.io/_components-forms-steps.html)
22:36:28	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:32%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/favicon.png	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/favicon.2c7.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:29	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:33%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/css/bulma.css	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/css/bulma.2c8.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:30	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:34%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/css/app.css	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/css/app.2c9.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:31	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:35%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/css/core.css	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/css/core.2ca.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:32	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:36%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/logos/logo/bulkit-core.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/logos/logo/bulkit-core.2cb.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:33	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:37%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/megamenu-core.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/megamenu-core.2cc.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:34	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:38%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/logos/bulkit-white.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/logos/bulkit-white.2cd.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:35	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:39%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/cut-circle.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/cut-circle.2ce.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:37	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:41%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/home/job-app.png	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/home/job-app.2cf.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:39	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:43%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/icons/layout-1.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/icons/layout-1.2d0.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:40	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:44%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/home/feature-4.png	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/home/feature-4.2d1.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:40	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:44%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/home/drawings/guy-couch.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/home/drawings/guy-couch.2d2.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:42	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:46%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/home/feature-5.png	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/legacy/home/feature-5.2d3.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:43	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-badges.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-badges.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:44	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:48%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//badges.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/badges.2d5.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:45	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-advancedui-boxes.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-advancedui-boxes.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:46	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:50%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//boxes.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/boxes.2d7.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:48	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-buttons.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-buttons.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:49	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:53%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//buttons.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/buttons.2d9.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:50	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-lists.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-lists.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:51	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:55%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//lists.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/lists.2db.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:52	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-advancedui-messages.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-advancedui-messages.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:53	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:57%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//messages.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/messages.2dd.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:54	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-advancedui-tables.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-advancedui-tables.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:55	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:36:59%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//tables.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/tables.2df.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:56	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-accordion.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-accordion.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:57	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:37:01%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//accordion.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/accordion.2e1.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:58	292462/292462	---MCZ	200	added ('OK')	text/html	etag:W/%225ffb3263-4766e%22	https://bulkit.cssninja.io/assets/css/fonts/_components-basicui-cards.html	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/_components-basicui-cards.html	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
22:36:59	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2021:37:03%20GMT	https://bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components//cards.svg	/Users/mac/websites/tatup-website-2/bulkit.cssninja.io/assets/css/fonts/assets/img/graphics/components/cards.2e3.delayed	(from https://bulkit.cssninja.io/assets/css/fonts/slick.eot)
